,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1652,709085358,0,36,1,1,0,1,3,0,36,3,3,4,2601.0,1817,784.0,0.663,2542,67,0.675,0.699
1653,715785933,0,54,1,3,3,0,2,0,45,4,3,0,3380.0,1655,1725.0,0.636,1636,58,0.706,0.49
1654,717159858,0,27,1,1,1,1,3,0,18,5,2,2,2730.0,1351,1379.0,0.623,2319,61,0.743,0.495
1655,713259858,0,26,1,0,1,1,1,0,15,3,1,3,3324.0,0,3324.0,0.537,982,22,0.692,0.0
1656,787516908,0,56,0,2,0,0,0,0,45,4,3,3,2665.0,1844,821.0,0.554,1880,58,0.758,0.692
1657,711145008,0,60,0,1,0,0,1,0,47,4,3,2,5015.0,2053,2962.0,0.442,1325,29,0.381,0.409
1658,715013733,0,54,1,4,0,0,3,0,36,4,3,3,6905.0,2303,4602.0,0.712,1370,25,0.786,0.334
1660,737982408,0,33,1,1,3,1,2,0,26,4,3,4,19136.0,1608,17528.0,0.728,2501,55,0.528,0.084
1662,709361058,0,35,1,2,0,0,3,0,24,5,1,3,7453.0,0,7453.0,0.712,1691,47,0.516,0.0
1664,773383158,0,29,0,1,3,1,0,0,23,4,3,4,4945.0,0,4945.0,1.033,2743,69,0.769,0.0
1665,716053083,0,33,1,2,0,0,4,0,21,2,2,4,27992.0,0,27992.0,0.433,837,18,1.0,0.0
1666,717667833,0,34,1,1,0,0,1,0,36,6,2,3,3735.0,1285,2450.0,1.034,1877,33,1.2,0.344
1668,772086408,0,38,1,3,1,1,2,0,27,4,1,4,6162.0,943,5219.0,0.484,1527,35,0.207,0.153
1669,708597558,0,42,1,3,1,1,3,0,36,4,4,3,3337.0,795,2542.0,0.524,3951,68,0.619,0.238
1670,718011783,0,55,1,3,0,0,1,0,36,3,3,3,2205.0,1337,868.0,0.65,1591,38,0.727,0.606
1671,714360033,0,62,1,1,1,0,1,0,43,5,1,3,4450.0,1444,3006.0,0.465,1326,44,0.419,0.324
1674,708513183,0,39,1,1,2,0,1,0,29,4,2,2,4323.0,1267,3056.0,1.102,3078,58,0.611,0.293
1675,719353158,0,56,1,1,3,0,2,0,45,5,1,3,4145.0,1468,2677.0,0.579,1238,36,0.5,0.354
1676,711436083,0,36,1,1,0,0,0,0,18,6,3,3,2032.0,1003,1029.0,1.005,2454,46,0.586,0.494
1677,780374133,0,29,1,1,3,1,2,0,19,5,3,3,7010.0,2103,4907.0,1.007,2413,48,1.087,0.3
1678,739117233,0,57,1,3,1,0,4,0,50,3,3,2,3205.0,1530,1675.0,0.673,2126,58,0.657,0.477
1680,795237183,0,51,0,2,0,0,1,0,45,3,2,4,5930.0,0,5930.0,1.19,2041,32,0.684,0.0
1682,709635858,0,56,0,3,0,0,0,0,45,6,2,3,2235.0,0,2235.0,0.556,1229,27,0.35,0.0
1683,789701658,0,26,1,0,3,1,1,0,13,5,2,2,2047.0,1196,851.0,0.623,2180,33,0.941,0.584
1685,711954558,0,53,0,3,0,0,1,0,44,3,3,4,2636.0,2357,279.0,0.654,1333,34,0.545,0.894
1686,712655583,0,41,1,3,0,0,1,0,32,3,3,2,6425.0,915,5510.0,0.958,2036,44,0.692,0.142
1687,779686683,0,26,0,0,4,1,0,0,13,5,3,2,2902.0,1668,1234.0,0.621,2088,34,0.478,0.575
1688,711226758,0,51,0,1,3,2,0,0,42,3,2,3,4002.0,1669,2333.0,0.702,2024,53,1.12,0.417
1689,713241033,0,34,1,0,0,0,3,0,26,4,3,3,5175.0,977,4198.0,1.705,2405,49,0.885,0.189
1691,717013383,0,52,1,2,1,0,2,0,43,4,3,4,31258.0,1518,29740.0,0.917,2866,53,0.893,0.049
1692,712634133,0,54,0,2,0,0,0,0,45,5,2,4,2683.0,1671,1012.0,0.784,1406,37,0.423,0.623
1693,709537683,0,37,1,3,3,0,2,0,30,3,4,3,11638.0,926,10712.0,0.262,563,15,0.364,0.08
1695,720241758,0,55,1,0,5,0,2,0,36,3,1,3,8276.0,1671,6605.0,0.359,1409,25,0.25,0.202
1697,785080308,0,37,0,2,1,0,0,0,31,5,3,3,2352.0,0,2352.0,1.467,2344,48,0.92,0.0
1698,713358633,0,30,1,1,0,1,3,0,36,6,1,2,11371.0,1015,10356.0,1.483,2768,68,0.889,0.089
1700,720282558,0,36,1,2,0,1,2,1,27,5,2,4,34516.0,1568,32948.0,0.878,2873,73,0.659,0.045
1701,821370858,0,39,1,1,0,0,1,0,35,5,3,4,6690.0,1884,4806.0,0.791,1734,39,0.625,0.282
1702,799249833,0,34,1,2,0,1,0,0,28,5,1,4,4439.0,844,3595.0,0.863,2858,71,0.69,0.19
1703,713016633,0,47,1,3,1,1,3,0,36,4,3,2,5344.0,1582,3762.0,0.537,1984,36,1.0,0.296
1704,814471983,0,42,1,3,1,2,2,0,37,6,3,3,27310.0,0,27310.0,0.919,1537,41,1.05,0.0
1705,779612808,0,61,1,1,0,0,1,0,50,6,2,4,2531.0,2360,171.0,0.955,1263,35,0.591,0.932
1706,716692683,0,31,1,1,3,1,1,0,22,4,1,3,9096.0,0,9096.0,0.768,2318,54,0.688,0.0
1707,790145733,0,40,1,3,3,1,2,1,33,1,3,4,34516.0,0,34516.0,0.927,1112,26,0.368,0.0
1709,714421233,0,54,0,0,0,0,0,0,36,5,3,4,5399.0,1723,3676.0,0.765,1292,34,0.889,0.319
1711,812788233,0,31,0,0,0,0,0,0,21,4,1,4,6315.0,1305,5010.0,0.542,2205,43,0.265,0.207
1715,713910108,0,38,1,1,0,0,2,0,28,3,2,3,3946.0,2375,1571.0,0.921,1646,43,0.536,0.602
1716,808169358,0,57,1,2,2,1,1,0,52,5,3,4,12291.0,2289,10002.0,0.685,1683,50,0.471,0.186
1717,714013083,0,63,0,2,0,0,1,0,53,4,2,4,3067.0,1874,1193.0,0.791,1420,32,0.455,0.611
1718,715381533,0,42,0,4,4,1,0,0,36,6,2,3,1438.3,674,764.3,1.769,2451,55,1.292,0.469
1719,717678408,0,61,0,1,5,0,1,0,47,4,2,4,8633.0,2517,6116.0,0.681,2066,51,0.457,0.292
1721,711509658,0,61,1,2,0,0,4,0,49,3,0,4,11374.0,2517,8857.0,1.015,1088,26,1.167,0.221
1722,757481283,0,35,1,3,3,0,3,0,28,4,3,4,6921.0,2159,4762.0,0.895,1931,35,0.75,0.312
1723,808681158,0,57,1,0,0,0,2,0,52,4,6,4,2564.0,2379,185.0,0.358,1343,35,0.296,0.928
1727,708208758,0,53,1,1,0,1,2,0,45,6,3,2,1826.0,883,943.0,0.953,2199,48,1.0,0.484
1729,714772758,0,35,0,3,0,0,0,0,27,6,2,4,2926.0,1346,1580.0,0.834,1851,48,0.455,0.46
1730,713830233,0,47,0,5,1,0,1,0,36,5,3,2,7061.0,1813,5248.0,0.744,1831,60,0.5,0.257
1732,814513008,0,38,1,2,0,0,2,0,33,5,3,3,9620.0,2033,7587.0,0.667,1735,43,0.387,0.211
1733,712765158,0,26,0,1,1,1,0,0,15,5,3,3,2539.0,2162,377.0,0.635,2386,47,0.382,0.852
1735,720231108,0,57,1,2,0,1,0,0,39,3,4,3,3451.0,0,3451.0,0.744,3031,57,0.676,0.0
1737,720662508,0,39,1,1,0,0,4,0,25,6,3,2,5764.0,1529,4235.0,1.356,1972,38,0.52,0.265
1738,708623283,0,35,1,2,2,1,3,0,16,6,3,2,18278.0,0,18278.0,0.798,2084,61,1.103,0.0
1739,813247083,0,38,1,2,0,0,2,0,33,4,3,2,16059.0,618,15441.0,0.824,1357,26,1.0,0.038
1741,811915383,0,36,1,3,2,0,1,0,31,6,2,2,3152.0,1986,1166.0,1.328,2530,50,0.724,0.63
1742,719818983,0,39,1,1,3,2,2,0,28,1,3,4,12464.0,0,12464.0,0.864,1195,35,0.522,0.0
1744,710067183,0,28,1,1,1,1,0,0,36,5,2,3,1950.0,0,1950.0,0.803,2074,81,0.8,0.0
1745,771234558,0,65,0,0,0,1,0,0,56,6,3,2,7478.0,0,7478.0,0.847,2213,62,0.771,0.0
1746,820288233,0,26,0,0,2,1,0,0,20,4,3,4,1438.3,0,1438.3,0.764,2731,39,0.5,0.0
1747,717511533,0,28,1,0,0,1,0,0,36,4,2,4,1707.0,1191,516.0,0.669,2950,87,0.977,0.698
1749,712495233,0,31,0,0,2,0,0,0,19,5,3,2,2370.0,1699,671.0,0.889,2411,53,0.656,0.717
1750,718484283,0,57,1,3,4,0,3,0,36,6,1,4,3478.0,2517,961.0,0.685,1409,49,0.75,0.724
1751,717413658,0,43,1,4,1,0,1,0,32,6,2,2,1539.0,989,550.0,0.86,1987,47,0.808,0.643
1752,804668658,0,26,0,0,2,1,0,0,20,3,2,4,1438.3,0,1438.3,0.506,947,20,0.053,0.0
1753,715934283,0,39,0,2,1,1,1,0,26,6,3,2,3142.0,1639,1503.0,0.986,3046,56,1.154,0.522
1755,715279683,0,52,0,2,2,0,1,0,36,5,1,4,1438.3,0,1438.3,0.529,1679,39,0.5,0.0
1756,718971333,0,33,1,1,0,1,2,0,20,5,3,2,13206.0,925,12281.0,0.766,2342,51,1.318,0.07
1757,709219533,0,53,1,3,1,0,3,0,41,3,1,0,2480.0,1351,1129.0,0.522,1359,36,0.565,0.545
1760,802464033,0,65,0,0,0,0,0,0,56,6,3,3,4460.0,1262,3198.0,0.898,1877,41,0.783,0.283
1761,712757808,0,33,0,2,2,0,0,0,22,4,2,4,1544.0,0,1544.0,0.677,1731,40,0.739,0.0
1764,708741633,0,52,1,4,1,0,3,0,44,6,3,4,4153.0,0,4153.0,0.434,1771,41,0.367,0.0
1765,714043833,0,37,0,3,0,1,0,0,36,5,2,4,3685.0,1396,2289.0,0.974,3016,85,0.809,0.379
1766,789577833,0,56,1,2,0,0,4,0,49,4,1,4,8902.0,1932,6970.0,0.781,969,29,1.071,0.217
1767,787570758,0,35,1,2,2,0,4,0,26,3,3,4,2944.0,1596,1348.0,0.737,2070,44,0.467,0.542
1768,720371733,0,58,0,0,0,0,0,0,47,5,3,2,2232.0,786,1446.0,0.435,1395,39,0.345,0.352
1770,711776433,0,37,1,3,2,1,2,0,26,4,2,2,23622.0,1153,22469.0,0.666,2574,65,0.625,0.049
1771,709583133,0,53,1,3,2,0,1,0,40,6,3,3,3326.0,1442,1884.0,0.711,1627,54,1.077,0.434
1772,719521983,0,38,1,2,2,0,1,0,31,4,3,3,6116.0,1698,4418.0,0.937,1592,32,1.0,0.278
1773,718415133,0,38,1,1,2,0,2,0,25,6,1,3,11352.0,0,11352.0,1.324,1601,34,1.125,0.0
1776,720462633,0,43,0,3,2,1,0,0,29,3,2,3,4138.0,643,3495.0,0.681,1827,49,0.581,0.155
1777,715005558,0,36,1,2,3,1,2,0,36,6,2,2,8374.0,2147,6227.0,1.113,2472,65,1.167,0.256
1778,779993208,0,38,0,2,2,0,0,0,28,3,3,3,7049.0,0,7049.0,0.988,1475,27,1.7,0.0
1779,787543008,0,37,1,1,0,1,1,0,27,5,3,4,3851.0,1695,2156.0,0.717,2349,61,0.968,0.44
1780,743265108,0,37,1,4,3,1,3,0,30,5,1,4,15936.0,827,15109.0,1.085,2477,49,1.042,0.052
1781,713770383,0,29,0,0,2,2,0,0,19,5,4,4,2926.0,0,2926.0,0.84,2775,74,1.114,0.0
1782,712392108,0,51,1,3,1,0,3,0,36,3,2,4,10305.0,691,9614.0,0.485,1451,25,0.667,0.067
1783,720145683,0,54,1,1,3,0,3,0,42,3,2,2,2987.0,2517,470.0,0.479,1617,35,0.75,0.843
1784,714832383,0,35,1,0,1,1,2,2,29,6,2,3,34516.0,1965,32551.0,1.044,2949,70,1.0,0.057
1785,772706283,0,38,0,2,3,0,1,0,28,3,3,4,6275.0,1579,4696.0,0.996,1585,43,0.72,0.252
1786,795920358,0,33,0,2,1,0,0,0,27,3,2,3,7185.0,0,7185.0,1.504,2679,45,0.8,0.0
1787,716277558,0,45,0,1,2,1,0,0,36,4,3,4,3281.0,1961,1320.0,0.744,1779,47,0.808,0.598
1788,764776833,0,61,1,0,0,0,1,0,54,3,3,2,3077.0,1646,1431.0,0.456,1523,30,0.579,0.535
1789,710795883,0,33,0,3,2,0,0,0,16,6,1,4,2042.0,1864,178.0,1.318,2758,50,0.852,0.913
1790,710428308,0,55,1,4,1,1,3,0,51,4,1,4,2001.0,1553,448.0,0.482,1910,51,0.7,0.776
1791,721096983,0,34,0,2,0,1,0,0,36,4,3,4,3625.0,2517,1108.0,1.158,2616,46,1.3,0.694
1792,715760733,0,58,1,4,1,0,1,0,47,6,3,4,7803.0,1885,5918.0,0.531,1199,25,0.316,0.242
1793,718227033,0,38,0,4,0,0,0,0,30,3,1,2,5951.0,1702,4249.0,1.264,2565,53,0.71,0.286
1794,720610008,0,59,1,1,3,0,4,0,50,1,5,4,15796.0,812,14984.0,0.719,1339,23,0.15,0.051
1796,714111333,0,55,1,1,1,0,3,0,46,6,1,3,5381.0,0,5381.0,0.746,1910,38,1.0,0.0
1797,717551358,0,63,1,0,0,0,3,0,55,4,1,4,3556.0,2517,1039.0,0.983,2279,56,0.6,0.708
1798,813573333,0,60,1,1,1,0,0,0,55,5,1,4,2661.0,1466,1195.0,0.631,1354,25,0.316,0.551
1799,711709683,0,53,0,2,2,0,0,0,36,6,1,4,3506.0,1405,2101.0,0.766,1999,48,0.655,0.401
1800,712902483,0,35,1,3,1,0,3,0,24,3,2,2,2066.0,1699,367.0,0.624,1895,43,0.536,0.822
1802,719883858,0,58,1,2,0,0,0,0,48,4,1,0,2774.0,0,2774.0,0.721,1258,33,0.435,0.0
1804,712043433,0,53,1,1,0,0,2,0,36,5,2,2,11329.0,1180,10149.0,0.648,1213,33,0.571,0.104
1805,769095558,0,59,1,1,5,1,3,0,53,3,2,2,9055.0,1560,7495.0,0.696,1755,45,0.8,0.172
1806,816094233,0,37,1,1,1,0,4,0,32,6,2,2,17393.0,1409,15984.0,0.608,1692,38,0.652,0.081
1807,758417508,0,50,0,4,1,2,0,0,43,6,3,4,5908.0,0,5908.0,0.822,3313,72,0.756,0.0
1808,721234308,0,35,0,2,2,0,0,0,21,6,2,3,5825.0,1815,4010.0,1.132,2820,62,0.879,0.312
1809,717138558,0,28,1,0,4,0,1,0,16,5,1,3,3665.0,0,3665.0,0.737,1813,31,0.409,0.0
1810,798120858,0,37,1,3,2,0,2,0,31,4,2,2,3797.0,1425,2372.0,1.505,2555,44,0.833,0.375
1811,709997958,0,39,1,3,0,0,1,0,28,4,3,4,3478.0,0,3478.0,0.65,2133,54,0.543,0.0
1812,712617408,0,31,1,1,4,1,1,0,20,5,3,3,13734.0,0,13734.0,0.855,2566,74,0.762,0.0
1813,720158208,0,37,1,3,0,0,3,0,23,4,3,2,3034.0,2167,867.0,0.711,2058,49,0.485,0.714
1814,716548083,0,39,1,4,0,0,0,0,32,4,1,4,2973.0,2360,613.0,1.257,2593,57,0.781,0.794
1815,717631008,0,38,1,2,0,0,2,0,31,4,1,2,24296.0,0,24296.0,0.781,1886,48,0.5,0.0
1816,813964383,0,35,1,3,0,1,1,0,30,3,1,3,8969.0,1226,7743.0,0.84,2568,59,0.735,0.137
1817,719952408,0,30,1,0,0,0,0,0,36,3,3,2,2550.0,1623,927.0,0.65,1870,51,0.275,0.636
1818,771028533,0,48,0,3,4,0,0,1,35,5,1,3,10357.0,0,10357.0,0.506,911,25,0.19,0.0
1821,713998233,0,37,0,2,1,1,0,0,36,6,2,4,3586.0,1414,2172.0,0.745,2780,57,0.727,0.394
1823,713574708,0,39,1,3,3,1,1,0,28,6,2,2,1640.0,1177,463.0,0.695,3124,66,0.784,0.718
1825,712004208,0,65,1,0,0,1,0,0,56,3,3,2,3422.0,0,3422.0,0.929,1973,59,0.686,0.0
1827,819610908,0,38,1,2,2,1,2,0,33,1,4,4,32938.0,2089,30849.0,0.72,1137,26,0.238,0.063
1829,712064358,0,38,1,1,0,0,3,0,36,6,3,4,2507.0,1544,963.0,0.906,1999,34,0.789,0.616
1830,816013383,0,65,0,0,0,2,0,0,56,3,6,3,6184.0,0,6184.0,1.016,1712,27,0.286,0.0
1832,780881358,0,35,1,3,0,1,1,1,17,6,3,2,16659.0,0,16659.0,1.012,2551,74,0.609,0.0
1833,709422183,0,58,0,1,0,0,0,0,46,4,2,2,2203.0,1394,809.0,0.57,1788,45,0.364,0.633
1835,809941233,0,53,1,1,0,0,2,0,48,4,1,3,3074.0,2390,684.0,0.421,1377,38,0.583,0.777
1836,710844408,0,38,1,3,4,0,3,0,36,4,3,2,2584.0,0,2584.0,0.593,1843,28,0.647,0.0
1838,807141183,0,34,1,1,0,0,4,0,29,4,3,2,14938.0,1412,13526.0,0.677,1930,36,0.636,0.095
1840,808273533,0,39,1,2,1,1,3,0,34,3,4,3,1818.0,0,1818.0,0.651,2054,55,0.774,0.0
1841,716297658,0,37,1,2,0,1,2,0,36,4,1,4,14926.0,0,14926.0,0.635,2405,55,0.667,0.0
1842,716532258,0,51,0,1,1,1,0,0,43,4,3,2,2827.0,1308,1519.0,0.79,3291,55,0.618,0.463
1843,720540708,0,53,0,3,2,0,0,0,42,3,2,4,2773.0,1507,1266.0,1.06,1197,25,1.083,0.543
1844,720904233,0,53,1,0,0,0,2,0,41,3,3,2,16033.0,560,15473.0,0.963,1158,31,1.067,0.035
1845,720863133,0,65,1,1,0,0,0,0,54,5,3,4,3213.0,2517,696.0,0.507,1855,39,0.773,0.783
1846,714957108,0,33,0,3,1,2,0,0,26,5,1,3,3616.0,0,3616.0,0.912,3133,72,1.0,0.0
1847,790102008,0,37,1,3,5,1,3,0,30,6,1,3,5924.0,1023,4901.0,0.765,3305,80,0.778,0.173
1848,781933983,0,47,1,4,0,0,1,0,41,5,3,4,14535.0,0,14535.0,0.711,2970,76,0.689,0.0
1849,712643358,0,59,0,0,1,0,0,0,49,6,2,4,2833.0,1609,1224.0,0.78,1335,23,1.3,0.568
1850,716686158,0,59,0,0,4,0,0,0,49,5,2,3,1479.0,601,878.0,0.607,1621,32,0.6,0.406
1852,721344858,0,26,1,0,2,1,0,0,13,4,4,4,2237.0,451,1786.0,0.837,2192,36,0.44,0.202
1853,813230208,0,45,1,4,3,1,4,0,40,3,3,3,2900.0,1782,1118.0,1.351,4686,64,0.561,0.614
1855,787500333,0,52,1,2,4,1,2,0,40,6,1,3,8695.0,1407,7288.0,0.634,2030,58,0.706,0.162
1856,768582033,0,47,1,3,1,0,1,0,41,6,3,4,6692.0,1897,4795.0,1.035,3902,76,0.689,0.283
1858,719916408,0,34,1,5,0,0,3,0,27,5,2,2,2501.0,1909,592.0,0.956,1850,34,1.125,0.763
1859,789433758,0,36,1,0,3,0,2,0,27,3,3,2,6338.0,2379,3959.0,0.624,1715,39,0.5,0.375
1860,785011383,0,36,0,0,2,2,1,0,30,1,3,4,2190.0,0,2190.0,0.908,1412,38,0.583,0.0
1861,719283633,0,57,0,3,2,0,1,0,49,4,2,3,7578.0,1628,5950.0,0.721,1325,29,1.231,0.215
1862,710816358,0,29,1,1,4,0,0,0,18,4,3,2,2963.0,1466,1497.0,1.378,2523,48,0.846,0.495
1863,779653458,0,37,1,3,0,0,2,0,20,3,3,3,8260.0,2077,6183.0,1.167,2323,47,0.621,0.251
1864,716382708,0,46,0,2,0,1,0,0,36,3,4,3,8309.0,858,7451.0,0.888,1165,35,0.4,0.103
1865,710387583,0,55,1,0,1,0,2,0,35,5,1,4,3864.0,1901,1963.0,0.289,1018,32,0.391,0.492
1866,718772133,0,56,1,3,0,0,2,0,47,6,3,3,10230.0,1082,9148.0,0.658,1484,34,0.545,0.106
1867,711224733,0,32,1,0,1,0,4,0,27,3,3,4,22382.0,0,22382.0,0.418,695,10,0.25,0.0
1868,718360083,0,39,1,4,2,0,4,0,36,6,3,2,25790.0,1798,23992.0,0.973,2443,70,0.556,0.07
1869,716102583,0,63,0,1,0,0,0,0,53,6,1,3,2675.0,2517,158.0,0.957,1959,56,1.0,0.941
1871,708459633,0,38,1,2,1,0,3,0,26,4,1,3,5815.0,1698,4117.0,0.896,1604,42,0.448,0.292
1872,712868733,0,60,1,0,2,0,0,0,52,5,1,2,2595.0,2189,406.0,0.276,1562,27,0.174,0.844
1873,713790708,0,38,1,3,2,0,3,0,36,5,2,3,3421.0,2308,1113.0,2.037,2269,39,1.053,0.675
1874,717648783,0,63,1,2,1,0,2,0,51,4,2,3,6922.0,1704,5218.0,0.278,1449,28,0.217,0.246
1875,714709983,0,43,0,2,3,0,0,0,36,6,2,4,6979.0,898,6081.0,0.565,1665,44,0.375,0.129
1876,819409608,0,39,0,2,0,0,0,0,34,4,3,4,2594.0,0,2594.0,0.526,1457,43,0.387,0.0
1878,791856033,0,45,1,2,3,2,2,0,39,3,4,4,34516.0,0,34516.0,1.014,1041,27,0.35,0.0
1879,714474483,0,35,0,1,0,0,1,0,29,4,2,2,2523.0,1877,646.0,1.631,2005,50,1.174,0.744
1880,716448783,0,48,0,3,0,0,1,0,39,2,4,3,6235.0,0,6235.0,0.848,1225,34,0.478,0.0
1881,711065133,0,26,1,1,1,1,1,0,13,6,2,4,1473.0,0,1473.0,0.813,2099,39,0.857,0.0
1882,713769258,0,36,1,3,3,0,4,0,26,3,2,3,17116.0,939,16177.0,1.575,2547,45,0.731,0.055
1883,712288158,0,37,1,2,3,0,2,0,17,5,3,2,4631.0,1991,2640.0,1.669,2864,37,0.947,0.43
1885,789127533,0,49,1,4,1,2,2,0,37,5,2,2,32338.0,1664,30674.0,0.919,3013,83,0.766,0.051
1886,717038733,0,56,1,3,2,0,3,0,36,5,3,3,2253.0,1375,878.0,0.388,1324,38,0.31,0.61
1887,804840033,0,45,1,2,3,0,3,0,38,4,6,4,16611.0,0,16611.0,0.954,1960,48,0.6,0.0
1890,712058958,0,28,1,0,1,1,0,0,19,3,3,4,3480.0,0,3480.0,0.731,2744,75,0.829,0.0
1891,708295533,0,65,0,0,4,0,0,0,56,5,3,2,3549.0,1880,1669.0,0.624,1215,22,0.571,0.53
1892,817686633,0,26,0,1,3,1,0,0,15,5,2,4,1438.3,737,701.3,0.806,2856,39,0.5,0.512
1893,713738883,0,57,0,3,2,0,0,0,36,6,2,3,3136.0,1422,1714.0,0.591,1260,34,0.889,0.453
1894,721310283,0,47,1,3,0,1,4,0,36,6,2,4,34516.0,933,33583.0,0.946,1804,32,0.6,0.027
1895,803132733,0,54,0,1,0,0,0,0,48,4,3,2,6814.0,1570,5244.0,0.653,1339,30,0.364,0.23
1898,711615933,0,43,1,3,0,0,2,0,33,3,3,2,28170.0,1859,26311.0,0.568,1013,28,0.75,0.066
1899,785311158,0,54,0,2,0,1,0,0,48,6,1,4,6610.0,928,5682.0,0.894,3328,69,0.683,0.14
1900,717267108,0,37,1,1,3,1,3,0,26,6,3,2,15755.0,1410,14345.0,0.839,2061,61,0.649,0.089
1901,711636558,0,33,1,3,0,0,2,0,36,5,3,4,2711.0,2073,638.0,0.711,1567,42,0.75,0.765
1902,717504258,0,38,1,2,3,0,1,0,25,4,1,4,3735.0,1199,2536.0,0.886,1573,35,0.75,0.321
1903,718242333,0,36,1,4,0,1,2,0,36,5,3,2,10216.0,1822,8394.0,0.778,2568,69,0.683,0.178
1905,708892833,0,37,1,2,0,0,4,0,30,2,4,4,13662.0,0,13662.0,0.153,725,22,0.0,0.0
1907,720191883,0,45,1,3,1,1,3,0,35,5,3,3,7050.0,659,6391.0,0.52,1236,36,1.0,0.093
1908,710934033,0,26,1,0,1,1,0,0,13,6,1,4,1775.0,1162,613.0,0.93,2169,43,0.536,0.655
1909,714473658,0,42,1,3,0,1,1,0,30,6,2,2,8960.0,1054,7906.0,0.414,1488,26,0.368,0.118
1910,716569983,0,33,1,2,3,0,2,0,36,3,1,2,2355.0,1773,582.0,0.774,1765,27,0.929,0.753
1911,789833583,0,57,0,4,1,0,1,0,47,5,2,4,6803.0,1332,5471.0,0.809,1476,30,0.579,0.196
1912,818923158,0,55,1,2,0,0,3,0,50,5,2,4,2145.0,1207,938.0,0.521,1275,31,0.476,0.563
1913,716596308,0,40,1,3,2,1,2,0,36,5,2,3,3919.0,1640,2279.0,0.8,1872,51,0.5,0.418
1914,716620458,0,32,1,1,1,1,0,0,23,3,2,3,4500.0,0,4500.0,0.626,2439,63,0.703,0.0
1915,710251608,0,62,0,1,1,0,0,0,54,3,3,4,2941.0,1173,1768.0,0.436,1453,27,0.35,0.399
1916,710633808,0,26,1,0,0,1,3,0,13,3,3,3,7102.0,0,7102.0,0.537,2411,41,0.281,0.0
1917,719318583,0,37,1,3,1,0,0,0,26,3,3,4,6866.0,2389,4477.0,0.395,862,13,0.182,0.348
1918,819202533,0,57,1,1,5,0,2,0,52,3,2,3,10378.0,1540,8838.0,0.547,1306,32,0.28,0.148
1920,771196083,0,47,1,4,0,0,2,0,34,6,3,3,18178.0,0,18178.0,0.922,1837,37,0.682,0.0
1922,788965683,0,49,0,4,2,0,0,0,36,6,3,3,1438.3,0,1438.3,0.782,2170,41,0.464,0.0
1923,817142433,0,35,1,3,0,0,2,0,20,5,3,4,8082.0,2307,5775.0,0.637,1725,29,1.071,0.285
1926,713309583,0,55,0,2,3,0,0,0,36,6,3,4,2967.0,2129,838.0,1.075,2177,59,0.788,0.718
1927,710273658,0,36,1,2,0,0,3,0,17,5,2,3,3092.0,1825,1267.0,1.46,2883,61,0.488,0.59
1928,771429408,0,54,1,1,1,0,2,0,42,5,3,2,1618.0,668,950.0,0.552,1515,31,0.476,0.413
1929,719452308,0,30,0,0,0,0,0,0,23,5,2,3,2498.0,1632,866.0,0.712,2048,35,1.188,0.653
1930,818908833,0,46,1,3,0,0,1,0,41,5,2,2,2564.0,0,2564.0,1.026,2038,45,0.364,0.0
1931,780998133,0,43,1,3,0,0,2,0,34,3,4,4,10540.0,1489,9051.0,1.029,1980,45,0.607,0.141
1932,801726933,0,34,1,2,0,0,4,0,28,4,3,3,13384.0,1853,11531.0,0.807,1899,33,0.833,0.138
1933,788474658,0,55,1,3,0,0,2,0,48,5,2,4,16208.0,1278,14930.0,0.543,1842,56,0.436,0.079
1935,710562258,0,44,1,1,0,0,2,0,33,5,4,3,19214.0,0,19214.0,0.998,3407,47,1.136,0.0
1937,814776033,0,34,1,2,0,1,2,0,29,3,1,3,13395.0,1678,11717.0,1.006,2650,69,0.865,0.125
1938,715057383,0,40,1,3,0,0,3,0,31,6,3,4,17126.0,1201,15925.0,0.802,3891,79,0.881,0.07
1939,717970158,0,42,1,2,3,1,3,0,36,5,3,2,8083.0,0,8083.0,1.076,3942,84,0.75,0.0
1940,715168008,0,36,1,3,0,2,1,0,28,4,2,3,8995.0,1547,7448.0,0.923,2398,61,0.794,0.172
1941,720802833,0,26,0,1,1,1,0,0,13,3,2,3,2404.0,1198,1206.0,0.501,2692,63,0.5,0.498
1942,789370383,0,42,1,1,1,0,1,0,32,4,2,2,2807.0,1845,962.0,1.027,1346,26,1.0,0.657
1943,711782733,0,55,1,0,0,0,1,0,36,3,3,2,3097.0,827,2270.0,0.511,1390,24,0.263,0.267
1945,719381733,0,61,1,2,1,1,3,0,47,5,2,3,2175.0,1404,771.0,0.633,3994,64,0.778,0.646
1946,771169458,0,41,1,4,3,0,4,0,28,5,3,0,28020.0,1470,26550.0,1.226,1723,36,1.25,0.052
1947,709974108,0,35,0,1,0,1,0,0,23,4,3,3,2640.0,1051,1589.0,0.833,3116,80,0.6,0.398
1948,757024233,0,34,1,2,0,1,4,0,27,3,1,4,31313.0,2152,29161.0,0.679,2555,62,0.676,0.069
